순번,국토부 코드,정산 코드,정류장 코드,정류장명,행정구역코드,시도명,시군구명,읍면동명,버스안내단말기 설치유무,와이좌표,엑스좌표
1,183002321,8001421,10010,대전역/중앙시장,3011010100,대전광역시,동구,원동,O,36.329544,127.433304
2,183002322,8001514,10020,원동네거리,3011010100,대전광역시,동구,원동,O,36.32629,127.43351
3,183002323,8002635,10030,중앙시장,3011010100,대전광역시,동구,원동,O,36.329105,127.43359
4,183002325,8001412,10040,대전역/역전시장,3011010100,대전광역시,동구,원동,O,36.32953,127.43368
5,183002326,8002634,10050,중앙시장,3011010100,대전광역시,동구,원동,O,36.32856,127.43393
6,183002327,8002358,10060,중앙시장,3011010100,대전광역시,동구,원동,O,36.328297,127.43441
7,183002328,8002357,10070,원동네거리,3011010100,대전광역시,동구,원동,O,36.32757,127.43485
8,183002335,8002356,10080,원동네거리,3011010200,대전광역시,동구,인동,O,36.32597,127.435356
9,183002336,8002482,10090,신인동주민센터,3011010200,대전광역시,동구,인동,O,36.323513,127.437065
10,183002337,8002481,10100,인동네거리,3011010200,대전광역시,동구,인동,O,36.32267,127.43716
11,183002338,8002483,10110,인동현대아파트,3011010200,대전광역시,동구,인동,O,36.319748,127.43852
12,183002339,8002480,10120,인동네거리,3011010200,대전광역시,동구,인동,O,36.32178,127.43868
13,183002340,8002484,10130,인동현대아파트,3011010200,대전광역시,동구,인동,O,36.319553,127.438934
14,183002341,8002149,10140,동부경찰서,3011010200,대전광역시,동구,인동,O,36.322468,127.44054
15,183002342,8002148,10150,동부경찰서,3011010200,대전광역시,동구,인동,O,36.32222,127.4407
16,183002458,8003014,10170,효동네거리,3011010300,대전광역시,동구,효동,O,36.316166,127.43991
17,183002459,8003016,10180,효동네거리,3011010300,대전광역시,동구,효동,O,36.31648,127.44009
18,183002460,8003018,10190,효동행정복지센터,3011010300,대전광역시,동구,효동,O,36.316086,127.44082
19,183002461,8003017,10200,효동행정복지센터,3011010300,대전광역시,동구,효동,O,36.316113,127.44108
20,183002462,8002691,10210,효동현대아파트,3011010300,대전광역시,동구,효동,O,36.3178,127.44185
